 	Area	Mean	StdDev	Min	Max	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	AR	Round	Solidity
1	13314	41.682	30.272	0	153	477.730	17	1	144	130	145.212	116.739	142.409	0.733	1.244	0.804	0.959
2	2349	54.282	39.018	0	150	211.882	820	1	51	59	64.536	46.344	62.840	0.658	1.393	0.718	0.897
3	2588	56.826	39.398	0	157	216.468	872	1	74	47	74.878	44.007	15.673	0.694	1.702	0.588	0.968
4	146	105.281	32.294	12	164	86.627	1086	1	40	6	34.206	5.434	179.805	0.244	6.294	0.159	0.791
5	2009	60.500	38.797	0	157	196.953	1750	1	74	36	72.360	35.350	9.354	0.651	2.047	0.489	0.951
6	240	14.417	8.814	0	41	76.184	3270	11	20	23	21.911	13.946	141.420	0.520	1.571	0.636	0.729
7	16265	48.641	33.267	0	158	580.843	653	39	177	132	181.207	114.285	23.369	0.606	1.586	0.631	0.907
8	15013	52.730	33.885	0	175	596.985	1945	85	161	147	180.527	105.885	132.016	0.529	1.705	0.587	0.913
9	15023	53.885	38.422	0	168	529.387	1267	123	118	167	165.732	115.414	102.276	0.674	1.436	0.696	0.946
10	9183	44.713	34.796	0	145	416.759	3451	397	121	120	111.210	105.136	153.171	0.664	1.058	0.945	0.937
11	12059	43.434	37.096	0	157	495.446	231	416	157	104	157.086	97.743	13.293	0.617	1.607	0.622	0.935
12	4459	51.819	31.877	0	144	286.593	173	437	70	98	97.247	58.381	103.838	0.682	1.666	0.600	0.933
13	11835	44.403	33.372	0	170	460.902	73	455	137	131	123.536	121.979	37.201	0.700	1.013	0.987	0.936
14	15817	35.619	30.096	0	158	528.115	3325	469	133	151	158.339	127.188	70.451	0.713	1.245	0.803	0.953
15	12924	46.539	37.557	0	172	492.902	1888	672	150	129	142.593	115.401	8.058	0.668	1.236	0.809	0.947
16	11762	38.436	41.787	0	171	466.316	927	1061	137	132	131.922	113.520	38.819	0.680	1.162	0.861	0.929
17	12112	43.525	35.179	0	140	476.600	3709	1126	141	137	155.122	99.415	46.459	0.670	1.560	0.641	0.920
18	9399	30.751	43.626	0	167	422.676	2977	1629	122	102	116.512	102.712	4.763	0.661	1.134	0.882	0.944
19	11420	33.642	39.056	0	150	459.688	260	1714	150	105	148.232	98.092	8.235	0.679	1.511	0.662	0.953
20	9094	30.607	41.004	0	161	394.635	2987	1729	124	96	121.551	95.259	170.357	0.734	1.276	0.784	0.939
21	26	40.577	16.980	10	68	20.728	985	1741	8	5	8.873	3.731	155.376	0.760	2.378	0.420	0.852
22	287	39.599	17.429	4	82	95.154	969	1745	25	24	21.401	17.075	164.257	0.398	1.253	0.798	0.703
23	63	48.270	17.865	21	82	32.728	960	1747	7	12	12.281	6.532	92.853	0.739	1.880	0.532	0.869
24	159	78.025	35.609	12	135	53.941	954	1759	13	21	20.615	9.820	76.433	0.687	2.099	0.476	0.850
25	28	76.750	14.673	49	98	25.556	995	1762	7	9	8.619	4.136	134.816	0.539	2.084	0.480	0.718
26	16	78.688	13.937	45	96	15.899	1003	1769	4	6	6.069	3.357	119.819	0.795	1.808	0.553	0.821
27	51	77.431	24.581	25	112	28.385	1007	1776	10	8	10.720	6.058	151.145	0.795	1.770	0.565	0.836
28	153	78.680	37.312	11	137	51.941	945	1777	13	20	19.248	10.121	60.419	0.713	1.902	0.526	0.857
29	19	70.053	23.564	33	111	19.556	1017	1787	6	7	8.862	2.730	52.969	0.624	3.246	0.308	0.704
30	19	39.368	12.393	23	59	22.971	977	1789	6	9	9.737	2.484	55.960	0.453	3.919	0.255	0.655
31	134	88.403	26.054	17	139	67.012	935	1793	15	26	23.822	7.162	66.369	0.375	3.326	0.301	0.665
32	52	40.808	15.364	8	66	27.556	1001	1803	8	9	9.336	7.092	49.916	0.861	1.316	0.760	0.889
