 	Area	Mean	StdDev	Min	Max	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	AR	Round	Solidity
1	7758	53.650	37.847	0	168	369.522	1833	1	122	81	123.976	79.675	172.426	0.714	1.556	0.643	0.952
2	3498	20.521	21.431	0	91	259.338	3697	1	91	55	82.894	53.729	14.037	0.654	1.543	0.648	0.948
3	62	33.758	14.112	2	61	31.213	411	150	11	9	11.068	7.133	158.563	0.800	1.552	0.644	0.816
4	14644	38.829	32.231	0	151	532.357	2973	274	125	171	170.570	109.312	77.050	0.649	1.560	0.641	0.941
5	11159	59.067	39.536	0	168	434.475	1894	869	98	148	148.882	95.432	87.350	0.743	1.560	0.641	0.957
6	14291	55.130	34.829	0	165	513.914	1226	1323	154	143	164.658	110.507	144.328	0.680	1.490	0.671	0.939
7	46115	28.097	32.398	0	172	956.465	2961	1349	200	282	285.524	205.641	96.300	0.633	1.388	0.720	0.959
8	23772	33.570	35.639	0	172	723.186	2833	1357	133	223	228.546	132.435	91.855	0.571	1.726	0.579	0.948
9	14253	37.920	36.360	0	151	560.784	3579	1546	162	155	173.132	104.819	45.136	0.570	1.652	0.605	0.923
10	2409	51.779	35.575	0	146	223.823	355	1561	57	61	63.242	48.500	75.988	0.604	1.304	0.767	0.904
11	204	40.044	20.620	0	90	67.012	450	1582	27	14	25.235	10.293	162.473	0.571	2.452	0.408	0.810
12	16	33.438	14.473	5	52	16.142	407	1584	6	5	6.017	3.386	34.573	0.772	1.777	0.563	0.711
13	69	30.783	15.341	4	67	36.971	434	1584	15	7	14.794	5.938	170.584	0.634	2.491	0.401	0.852
14	2361	37.468	34.407	0	151	248.409	402	1598	59	72	70.701	42.519	60.022	0.481	1.663	0.601	0.785
15	2867	49.364	37.121	0	154	220.894	461	1598	59	72	67.122	54.385	89.673	0.738	1.234	0.810	0.939
16	1331	46.555	45.708	0	151	145.255	355	1623	46	36	46.516	36.432	159.683	0.793	1.277	0.783	0.957
17	830	67.848	36.018	2	152	140.711	909	1660	58	24	54.786	19.290	170.758	0.527	2.840	0.352	0.849
18	100	56.720	24.578	2	100	43.456	897	1668	14	13	12.704	10.023	3.791	0.665	1.267	0.789	0.791
19	375	63.896	44.133	1	149	83.497	861	1673	27	25	30.929	15.438	36.249	0.676	2.003	0.499	0.868
20	542	59.308	40.607	0	140	100.225	957	1675	25	35	33.572	20.556	74.616	0.678	1.633	0.612	0.879
21	23	33.043	19.937	8	70	23.314	868	1708	4	10	9.751	3.003	107.004	0.532	3.247	0.308	0.793
22	12129	39.783	34.633	0	153	554.357	700	2053	162	143	160.927	95.964	149.405	0.496	1.677	0.596	0.853
23	748	52.166	24.867	4	118	121.054	3961	2133	32	38	38.314	24.857	110.751	0.641	1.541	0.649	0.838
24	106	40.160	17.681	2	74	44.385	682	2147	17	9	16.653	8.104	13.069	0.676	2.055	0.487	0.880
25	80	31.913	13.471	4	57	36.971	670	2154	11	11	13.137	7.754	47.293	0.736	1.694	0.590	0.879
26	148	33.696	13.776	6	77	51.941	697	2159	16	17	18.438	10.220	53.683	0.689	1.804	0.554	0.834
27	132	31.705	16.698	5	73	49.698	727	2161	17	13	16.371	10.266	19.559	0.672	1.595	0.627	0.812
28	30	23.267	12.247	5	51	21.556	720	2167	6	8	7.261	5.261	97.423	0.811	1.380	0.725	0.833
29	55	13.636	9.138	3	40	32.971	881	2168	13	7	13.837	5.061	16.578	0.636	2.734	0.366	0.821
30	199	19.769	13.617	0	74	72.912	894	2168	20	22	19.485	13.004	139.745	0.470	1.498	0.667	0.702
31	68	31.824	19.723	4	79	31.556	738	2172	8	11	10.964	7.897	100.039	0.858	1.388	0.720	0.907
32	99	17.242	10.656	3	56	38.971	746	2176	13	10	13.512	9.329	168.316	0.819	1.449	0.690	0.884
33	741	35.035	24.812	0	106	128.610	654	2177	44	36	49.072	19.226	145.551	0.563	2.552	0.392	0.837
34	440	36.280	18.287	2	81	119.296	738	2186	37	27	27.440	20.416	177.331	0.389	1.344	0.744	0.626
35	58	15.034	8.582	2	38	37.113	880	2188	12	13	14.370	5.139	48.200	0.529	2.796	0.358	0.699
36	67	12.955	9.981	0	41	35.799	893	2188	9	12	12.450	6.852	59.042	0.657	1.817	0.550	0.807
37	89	23.472	11.213	4	52	53.113	721	2189	17	12	14.188	7.987	16.528	0.396	1.776	0.563	0.591
38	55	16.055	8.610	0	36	32.971	706	2192	14	6	14.052	4.984	176.782	0.636	2.820	0.355	0.815
