 	Area	Mean	StdDev	Min	Max	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	AR	Round	Solidity
1	353	81.184	38.567	0	155	85.456	1125	1	20	27	27.746	16.199	92.132	0.607	1.713	0.584	0.879
2	47	39.426	20.399	4	79	33.799	1161	1	10	11	12.375	4.836	48.614	0.517	2.559	0.391	0.790
3	28	56.464	18.632	24	85	23.314	1172	1	8	6	8.500	4.194	158.192	0.647	2.027	0.493	0.824
4	1255	53.206	39.894	1	167	194.953	1209	1	41	61	53.466	29.887	96.560	0.415	1.789	0.559	0.734
5	6352	43.150	31.496	0	132	390.007	3178	1	130	74	124.001	65.222	163.687	0.525	1.901	0.526	0.847
6	354	53.088	26.119	1	125	76.284	3278	1	26	17	26.096	17.272	170.971	0.764	1.511	0.662	0.916
7	9155	42.748	34.089	0	147	411.588	2550	7	107	132	122.872	94.867	102.788	0.679	1.295	0.772	0.928
8	61	61.705	21.886	17	98	31.213	1178	12	8	12	10.794	7.195	95.523	0.787	1.500	0.667	0.836
9	102	30.353	17.661	0	78	41.556	1162	15	10	14	13.950	9.310	96.854	0.742	1.498	0.667	0.872
10	213	68.784	28.416	0	130	59.213	3293	15	17	17	17.416	15.572	116.208	0.763	1.118	0.894	0.903
11	77	59.117	24.038	4	107	38.870	1173	27	14	10	15.193	6.453	152.773	0.640	2.355	0.425	0.802
12	549	66.668	37.523	1	148	104.912	1122	29	25	35	34.663	20.166	89.903	0.627	1.719	0.582	0.859
13	90	18.956	9.759	5	46	42.042	1211	31	12	14	15.009	7.635	46.376	0.640	1.966	0.509	0.818
14	40	65.375	25.243	17	108	29.556	1205	47	6	12	11.575	4.400	72.084	0.575	2.631	0.380	0.777
15	404	46.587	34.434	2	127	91.740	1145	53	35	22	34.365	14.968	155.658	0.603	2.296	0.436	0.822
16	31	103.613	19.803	53	134	22.142	1217	58	7	7	8.094	4.876	34.957	0.795	1.660	0.602	0.838
17	1180	65.029	34.746	2	152	171.196	1123	65	46	49	60.249	24.937	138.376	0.506	2.416	0.414	0.809
18	991	71.622	40.897	1	153	163.338	1170	78	53	40	56.453	22.351	31.957	0.467	2.526	0.396	0.769
19	14295	41.994	35.717	0	147	576.098	2927	131	194	141	200.518	90.770	150.840	0.541	2.209	0.453	0.926
20	13324	45.049	34.226	0	148	476.316	2511	229	145	130	150.667	112.597	152.154	0.738	1.338	0.747	0.951
21	14609	46.335	34.730	0	150	524.659	2686	276	147	141	167.211	111.241	142.863	0.667	1.503	0.665	0.939
22	13278	49.714	35.255	0	165	505.144	1308	712	170	119	172.708	97.888	161.151	0.654	1.764	0.567	0.949
23	15550	44.961	35.269	0	171	583.227	1597	728	192	130	202.039	97.995	30.693	0.574	2.062	0.485	0.943
24	4470	58.300	40.331	0	156	286.090	2425	730	85	85	84.129	67.650	140.385	0.686	1.244	0.804	0.931
25	7748	46.987	40.588	0	165	381.144	2365	763	117	112	111.525	88.456	26.558	0.670	1.261	0.793	0.920
26	11152	31.795	40.012	0	166	454.316	2431	834	132	134	145.301	97.722	132.123	0.679	1.487	0.673	0.944
27	10541	51.656	39.397	0	171	457.730	267	929	134	102	134.171	100.031	174.293	0.632	1.341	0.746	0.947
28	126	71.659	21.000	10	111	42.042	1083	1033	12	14	14.387	11.151	114.700	0.896	1.290	0.775	0.903
29	8989	48.635	36.627	0	159	423.487	1592	1056	118	116	110.552	103.527	112.214	0.630	1.068	0.936	0.918
30	22	40.636	12.242	19	61	18.971	1692	1090	7	6	7.322	3.825	150.027	0.768	1.914	0.522	0.786
31	11270	48.213	36.660	0	168	460.659	1569	1222	115	145	143.922	99.702	67.647	0.667	1.444	0.693	0.942
32	57	51.842	13.788	25	71	28.142	3189	1239	8	9	9.629	7.537	129.606	0.904	1.277	0.783	0.898
33	223	13.404	7.214	1	37	76.184	3708	1271	20	19	17.798	15.953	153.212	0.483	1.116	0.896	0.760
34	198	13.717	6.957	0	43	69.355	3726	1272	17	21	19.311	13.055	64.727	0.517	1.479	0.676	0.750
35	46	7.435	7.032	1	34	36.627	3737	1289	11	10	12.936	4.528	149.940	0.431	2.857	0.350	0.639
36	14167	43.732	29.710	0	152	530.541	38	1396	142	145	163.245	110.496	127.640	0.632	1.477	0.677	0.941
37	31314	46.558	36.411	0	162	790.891	1573	1503	258	186	242.616	164.335	2.551	0.629	1.476	0.677	0.932
38	12299	50.099	37.537	0	162	481.730	510	1560	119	150	141.533	110.642	85.197	0.666	1.279	0.782	0.937
39	42	111.048	18.050	71	148	25.556	952	1724	7	9	8.790	6.084	62.044	0.808	1.445	0.692	0.857
40	54	117.019	19.547	74	148	31.799	947	1731	8	12	11.403	6.030	69.864	0.671	1.891	0.529	0.800
41	37	120.784	21.389	49	154	25.556	944	1743	7	8	8.814	5.345	58.497	0.712	1.649	0.606	0.771
42	45	122.244	12.487	89	148	35.213	940	1752	8	13	13.668	4.192	65.826	0.456	3.260	0.307	0.667
43	18	126.556	12.655	105	146	22.728	937	1766	5	9	8.186	2.800	61.924	0.438	2.924	0.342	0.643
44	25	75.640	8.999	60	92	24.385	946	1825	9	7	9.230	3.449	33.583	0.528	2.676	0.374	0.633
45	87	28.483	13.404	3	60	42.385	3355	1849	15	10	13.421	8.254	24.970	0.609	1.626	0.615	0.787
46	15556	48.972	32.813	0	148	528.357	779	1887	154	136	155.656	127.246	156.378	0.700	1.223	0.817	0.939
47	11309	43.739	41.995	0	166	449.103	2566	1889	129	132	139.185	103.453	123.750	0.705	1.345	0.743	0.941
48	21189	41.347	33.411	0	151	697.210	1111	1911	171	193	192.462	140.177	106.269	0.548	1.373	0.728	0.908
49	5621	30.120	31.819	0	123	382.350	3937	1926	62	134	118.988	60.148	80.482	0.483	1.978	0.505	0.925
50	14893	37.513	39.659	0	167	557.186	2098	1938	149	135	148.773	127.458	163.031	0.603	1.167	0.857	0.911
51	17105	35.679	29.796	0	147	686.583	536	2042	197	133	188.502	115.536	176.731	0.456	1.632	0.613	0.864
52	1506	29.851	21.746	0	126	210.309	395	2067	63	47	50.849	37.710	169.495	0.428	1.348	0.742	0.779
53	445	32.337	30.314	0	132	89.397	733	2074	34	23	34.877	16.245	151.985	0.700	2.147	0.466	0.897
54	8324	43.167	29.974	0	143	424.617	332	2075	112	126	124.563	85.085	139.821	0.580	1.464	0.683	0.868
55	35	39.743	14.464	15	65	23.556	522	2088	9	6	8.301	5.368	170.852	0.793	1.546	0.647	0.824
56	70	40.214	23.199	3	97	39.113	464	2093	13	13	16.177	5.509	129.524	0.575	2.936	0.341	0.773
57	388	22.724	23.585	0	95	85.497	746	2096	31	21	26.798	18.435	19.112	0.667	1.454	0.688	0.821
58	51	28.333	17.252	3	70	27.799	473	2106	9	9	8.416	7.716	55.954	0.829	1.091	0.917	0.843
59	1200	25.075	17.730	0	88	166.409	752	2107	53	44	44.937	34.001	38.484	0.545	1.322	0.757	0.802
60	2187	40.961	25.342	0	129	234.208	444	2112	47	87	79.196	35.161	71.943	0.501	2.252	0.444	0.831
61	4306	29.418	30.692	0	130	301.279	3922	2121	77	87	94.250	58.171	55.817	0.596	1.620	0.617	0.884
62	44	34.250	20.125	7	71	29.314	750	2129	12	5	12.125	4.620	5.301	0.643	2.624	0.381	0.846
63	909	35.383	29.614	0	116	124.368	788	2132	32	45	40.326	28.700	77.562	0.739	1.405	0.712	0.905
64	430	29.642	27.191	0	128	105.255	702	2137	24	37	31.202	17.547	64.766	0.488	1.778	0.562	0.758
65	257	6.389	5.862	0	25	69.698	821	2144	16	24	21.360	15.320	85.882	0.665	1.394	0.717	0.868
66	445	18.047	17.893	0	83	98.569	718	2145	25	33	31.570	17.947	59.327	0.576	1.759	0.568	0.837
67	57	16.596	9.337	3	39	34.042	849	2147	10	11	10.819	6.708	67.491	0.618	1.613	0.620	0.755
68	47	38.915	9.053	21	54	30.627	685	2149	12	7	10.318	5.800	164.484	0.630	1.779	0.562	0.790
69	1705	17.608	17.690	0	90	179.095	734	2152	65	39	62.237	34.881	170.555	0.668	1.784	0.560	0.875
70	112	34.241	31.481	1	126	47.698	859	2152	15	15	17.533	8.133	136.844	0.619	2.156	0.464	0.842
71	696	37.489	26.041	0	121	120.225	556	2154	32	38	32.686	27.112	76.695	0.605	1.206	0.829	0.816
72	51	31.784	12.017	5	63	30.971	678	2161	10	9	9.837	6.601	30.197	0.668	1.490	0.671	0.797
73	687	14.539	13.146	0	55	113.539	822	2161	35	35	35.332	24.757	144.800	0.670	1.427	0.701	0.851
74	198	34.742	14.634	4	79	71.255	489	2166	21	24	21.947	11.487	125.276	0.490	1.911	0.523	0.707
75	113	66.469	26.061	10	109	48.527	639	2173	11	17	16.439	8.752	91.329	0.603	1.878	0.532	0.746
76	30	36.800	9.283	17	50	24.971	730	2175	6	9	8.586	4.449	107.509	0.605	1.930	0.518	0.723
77	21	8.714	3.663	3	17	16.971	873	2177	6	6	5.577	4.794	45.001	0.916	1.163	0.860	0.824
78	1036	50.849	26.109	1	119	129.782	459	2179	39	40	36.673	35.969	52.755	0.773	1.020	0.981	0.914
79	156	18.647	13.396	0	59	48.527	822	2187	13	18	17.023	11.668	110.597	0.832	1.459	0.685	0.897
80	132	26.750	16.843	1	72	54.627	641	2191	11	20	19.412	8.658	93.700	0.556	2.242	0.446	0.781
81	778	29.761	31.233	0	124	121.054	746	2192	35	33	38.199	25.932	44.245	0.667	1.473	0.679	0.881
82	1005	50.374	33.092	1	133	136.912	497	2193	49	29	49.366	25.921	1.700	0.674	1.904	0.525	0.899
83	617	48.645	31.036	0	115	114.083	547	2193	37	24	37.499	20.950	3.627	0.596	1.790	0.559	0.858
84	17	15.235	8.250	4	34	18.728	845	2198	5	7	5.888	3.676	83.572	0.609	1.602	0.624	0.680
85	194	27.273	15.316	0	77	60.770	788	2200	25	12	23.363	10.573	7.727	0.660	2.210	0.453	0.860
86	49	42.367	12.456	20	68	38.284	669	2203	15	10	16.051	3.887	147.898	0.420	4.130	0.242	0.710
87	337	23.688	16.012	0	73	94.569	801	2209	20	34	28.958	14.817	74.372	0.474	1.954	0.512	0.756
88	6532	33.304	28.325	0	121	344.693	3918	2209	81	107	110.488	75.273	111.280	0.691	1.468	0.681	0.959
89	55	45.745	14.783	15	78	32.042	684	2211	11	9	11.465	6.108	149.716	0.673	1.877	0.533	0.809
90	752	12.516	14.126	0	77	127.539	756	2211	43	34	42.650	22.449	29.207	0.581	1.900	0.526	0.806
91	709	64.880	39.705	1	152	141.882	560	2218	29	52	55.892	16.151	112.245	0.443	3.460	0.289	0.808
92	24	31.708	14.505	11	58	24.142	695	2218	8	7	7.219	4.233	21.801	0.517	1.705	0.586	0.632
93	341	24.930	12.202	1	61	118.853	638	2219	20	43	36.614	11.858	78.440	0.303	3.088	0.324	0.616
94	24	10.292	6.636	0	22	23.314	657	2225	4	10	8.825	3.463	90.891	0.555	2.549	0.392	0.762
95	197	38.208	23.477	0	99	67.941	733	2227	22	17	21.911	11.448	143.469	0.536	1.914	0.522	0.743
96	220	31.373	21.006	1	85	63.698	599	2231	14	24	25.787	10.863	111.429	0.681	2.374	0.421	0.882
97	102	41.431	16.223	10	78	55.355	694	2232	11	22	20.864	6.225	110.436	0.418	3.352	0.298	0.708
98	28	68.250	9.984	42	82	29.556	845	2237	13	5	13.094	2.723	167.891	0.403	4.809	0.208	0.667
99	139	23.180	13.077	2	61	55.355	649	2250	20	15	21.833	8.106	32.067	0.570	2.693	0.371	0.801
100	29	97.483	9.653	71	112	26.142	788	2261	5	11	10.133	3.644	109.918	0.533	2.781	0.360	0.773
101	55	59.618	13.308	32	86	35.556	856	2265	6	14	14.286	4.902	89.092	0.547	2.914	0.343	0.769
102	12953	51.482	34.301	0	149	510.458	323	2267	126	148	145.238	113.553	85.291	0.625	1.279	0.782	0.934
103	47	22.404	9.744	1	44	28.627	667	2267	10	9	10.105	5.922	40.260	0.721	1.706	0.586	0.790
104	109	78.697	31.697	8	130	43.113	583	2268	14	13	12.962	10.707	144.530	0.737	1.211	0.826	0.826
105	22	28.727	8.977	10	45	24.971	652	2271	9	6	7.142	3.922	20.251	0.443	1.821	0.549	0.564
106	35	105.714	13.319	76	131	25.799	793	2271	8	9	10.327	4.315	134.241	0.661	2.393	0.418	0.753
107	115	87.809	25.718	14	128	55.113	696	2272	22	12	21.428	6.833	157.252	0.476	3.136	0.319	0.788
108	78	74.564	32.575	14	133	37.456	593	2275	12	12	11.439	8.682	42.931	0.699	1.318	0.759	0.796
109	101	105.317	14.334	62	132	67.941	801	2279	13	28	27.228	4.723	112.481	0.275	5.765	0.173	0.658
110	29	108.724	16.423	61	127	22.142	732	2280	8	6	8.365	4.414	160.604	0.743	1.895	0.528	0.773
111	69	83.203	23.644	21	117	30.728	601	2282	9	9	9.928	8.849	43.120	0.918	1.122	0.891	0.939
112	62	66.629	39.442	6	130	30.971	610	2284	9	10	10.765	7.333	56.825	0.812	1.468	0.681	0.879
